generation,best_individual_fitness,mean_fitness,tree
10,419.24569691373716,962.40420,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ (max _5 _0.5) (max _1 (+ _10 PT)))) (- SLACK (/ _0 PT)))))"
11,419.24569691373716,1258.60156,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) _10 NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ _0 PT)))))"
12,419.24569691373716,1086.52995,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 _10) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ _0 PT)))))"
13,419.24569691373716,1293.36507,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (+ _2 _1) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) _10 NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ _0 PT)))))"
14,419.24569691373716,1068.91755,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (+ RemProcTime NPT) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ (if RemProcTime PT _0.5) (max _5 _0.5)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ _0 PT)))))"
15,419.24569691373716,1084.07871,"(* (* (exp (* (/ _5 _1) (max PT _10))) (+ _10 PT)) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 RemProcTime) (max _5 _0.5))) (min (if (min TimeInQueue _0.1) (if (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ _0 PT)))))"
16,419.24569691373716,1226.49899,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (* (/ _5 _1) (max PT _10)) (min TimeInQueue _0.1) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (/ _5 _1)) (- SLACK (/ _0 PT)))))"
17,419.14013426290893,1043.42738,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 _10) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
18,419.14013426290893,1292.02060,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 _10) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
19,419.14013426290893,1200.42572,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 _10) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
20,419.14013426290893,1064.84504,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 _10) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
21,419.13919299767304,912.87019,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ (if (exp WINQ) NPT NPT) _0.1) (/ _0 PT) (- (+ _5 _10) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
22,419.13919299767304,1293.82827,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ (if (exp WINQ) NPT NPT) _0.1) (/ _0 PT) (- (+ _5 _10) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
23,419.08165522379613,1483.50082,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
24,419.08165522379613,1144.57663,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
25,419.08165522379613,1063.47410,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (/ _5 _0.1))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
26,419.08165522379613,973.08231,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (/ _5 _0.1))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
27,419.08165522379613,1217.29136,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (/ _5 _0.1))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
28,419.08165522379613,1277.02266,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue (max (+ _10 PT) (/ _5 _1))) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
29,419.08165522379613,899.58262,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ PT _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min (/ _5 _1) _0.1) (if _5 _0.1 _2) (+ _5 _10)) _0)) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
30,419.08165522379613,1224.21006,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (/ _5 _0.1))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (exp WINQ) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
31,419.08165522379613,1062.52287,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (- SLACK (/ (* _5 (max PT _10)) PT)))))"
32,419.08165522379613,939.21196,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min (/ _5 _1) _0.1) (/ _5 _1) (+ _5 _10)) (exp _0))) (min (if _5 _0.1 _2) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
33,419.08165522379613,897.45514,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (max PT _10) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (exp WINQ) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) _10 (+ (max _5 _0.5) (if _5 _0.1 _2))) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
34,419.08165522379613,1095.94713,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) _5) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (/ _5 _0.1)) (min (if (if (exp WINQ) NPT NPT) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
35,419.08165522379613,1112.48375,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (+ (exp _0) (if _5 _0.1 _2))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (exp _0) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
36,419.08165522379613,929.01890,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ (max PT _10) PT) (if (max PT _10) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min (/ _5 _1) _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (/ (* (/ _5 _1) (max PT _10)) PT) (if (max ODD (max _0.1 LLD)) NPT NPT) (+ (if _5 _0.1 _2) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
37,419.08165522379613,1358.55968,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (+ (exp _0) (if _5 _0.1 _2))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (exp _0) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (if _10 NPT NPT) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
38,419.08165522379613,1270.56584,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (/ _5 _1) (if _5 _0.1 _2) (+ (max _5 _0.5) _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (exp _0) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) (if (exp WINQ) NPT NPT) (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
39,419.08165522379613,932.84092,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (/ _5 _1) (if _5 _0.1 _2))) (+ _5 _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if (min (min TimeInQueue _0.1) _0.1) (if _5 _0.1 _2) (+ _5 _10)) _0)) (min (if (if (exp _0) SLACK (+ _5 _10)) (if (exp WINQ) NPT NPT) (+ (min TimeInQueue _0.1) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
40,419.08165522379613,1096.49215,"(* (* (exp (* (max _5 _0.5) (max PT _10))) (* (max (+ (max PT _10) PT) (if (min PT _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (+ _10 PT)) (min (if (/ (* (/ _5 _1) (max PT _10)) PT) (if (max ODD (max _0.1 LLD)) NPT NPT) (+ (if _5 _0.1 _2) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
41,419.08165522379613,1275.15776,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _10 PT))) (+ _5 _10))) (+ (if (exp _10) (+ (exp SLACK) (exp _0)) (- (max (+ (max PT _10) PT) (if (min TimeInQueue _0.1) _1 (+ _5 _10))) (exp _0))) (min (exp _10) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
42,419.08165522379613,1157.63966,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (/ _5 _0.1))) (exp _10))) (+ (if (if (min TimeInQueue _0.1) (if (max _5 _0.5) NPT NPT) (if (exp _0) (if _5 _0.1 _2) (/ _5 _0.1))) (+ (exp SLACK) (exp _0)) (- (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (exp _0))) (min (if (min TimeInQueue _0.1) _0.1 (+ (max _5 _0.5) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
43,419.08165522379613,1196.73317,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min (+ _10 PT) _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (+ (exp SLACK) (exp _0)) (- (if _0.1 (if _5 _0.1 _2) (max _5 _0.5)) (exp _0))) (min (if _2 (* (/ _5 _1) (max PT _10)) (+ (max _5 _10) _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
44,418.66926249244534,869.38620,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (exp _0)) (exp _10))) (+ (if (/ _5 (exp (* (/ _5 _1) (max PT _10)))) (+ (exp SLACK) (exp _0)) (+ _10 PT)) (min (if (max PT _10) (if (exp WINQ) NPT NPT) (exp _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
45,418.66926249244534,1379.26672,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (exp _0)) (exp _10))) (+ (if (/ _5 (exp (* (/ _5 _1) (max PT _10)))) (+ (exp SLACK) (exp _0)) (+ _10 PT)) (min (if (max PT _10) (if (exp WINQ) NPT NPT) (exp _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
46,418.66926249244534,1069.53345,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (exp _0)) (exp _10))) (+ (if (/ _5 (exp (* (/ _5 _1) (max PT _10)))) (+ (exp SLACK) (exp _0)) (+ _10 PT)) (min (if (max PT _10) (if (exp WINQ) NPT NPT) (exp _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
47,418.66926249244534,1117.55464,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (exp _0)) (exp _10))) (+ (if (/ _5 (exp (* (/ _5 _1) (max PT _10)))) (+ (exp SLACK) (exp _0)) (+ _10 PT)) (min (if (max PT _10) (if (exp WINQ) NPT NPT) (exp _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
48,418.66926249244534,985.13392,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (exp _0)) (exp _10))) (+ (if (/ _5 (exp (* (/ _5 _1) (max PT _10)))) (+ (exp SLACK) (exp _0)) (+ _10 PT)) (min (if (max PT _10) (if (exp WINQ) NPT NPT) (exp _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
49,418.66926249244534,1069.96195,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (exp _0)) (exp _10))) (+ (if (/ _5 (exp (* (/ _5 _1) (max PT _10)))) (+ (exp SLACK) (exp _0)) (+ _10 PT)) (min (if (max PT _10) (if (exp WINQ) NPT NPT) (exp _10)) (- SLACK (/ (* (/ _5 _1) (max PT _10)) PT)))))"
